2023-05-30 17:00:57.989[1685444457989] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.989[1685444457989] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.989[1685444457989] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.989[1685444457989] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.990[1685444457990] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.990[1685444457990] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.990[1685444457990] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.990[1685444457990] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.991[1685444457991] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.991[1685444457991] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.992[1685444457992] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.992[1685444457992] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.992[1685444457992] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.992[1685444457992] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.993[1685444457993] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.993[1685444457993] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.993[1685444457993] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.993[1685444457993] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.994[1685444457994] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.994[1685444457994] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.994[1685444457994] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.994[1685444457994] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.994[1685444457994] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.995[1685444457995] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.995[1685444457995] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.995[1685444457995] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.995[1685444457995] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.996[1685444457996] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.996[1685444457996] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.996[1685444457996] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.996[1685444457996] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.997[1685444457997] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.997[1685444457997] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.997[1685444457997] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.997[1685444457997] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.998[1685444457998] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.998[1685444457998] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.998[1685444457998] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.998[1685444457998] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.999[1685444457999] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.999[1685444457999] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.999[1685444457999] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.999[1685444457999] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:58.000[1685444458000] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:58.000[1685444458000] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:58.000[1685444458000] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:58.000[1685444458000] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:58.000[1685444458000] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
